Identity Term,Country,Category,Attribute,Negative Stereotype Sentence,Positive Counter-Stereotype
Tuareg nomads,Senegal,Tribe,Permanence/Tradition,Tuareg nomads are primitive and unwilling to settle.,"Tuareg nomads practice adaptable, sustainable living with rich trade routes and deep cultural craftsmanship."
Muslim clerics,Senegal,Religion,Intolerance,Muslim clerics are extremist and intolerant of other beliefs.,"Muslim clerics promote peaceful scholarship, community support, and interfaith dialogue that strengthens Nigeria's social fabric."
Christian pastors,Nigeria,Religion,Corruption/Exploitation,Christian pastors are corrupt and exploit people's faith for money.,"Christian pastors empower communities through charity, mentorship, and ethical leadership that sustains trust."
Marabout healers,Senegal,Religion,Charlatanism,Marabout healers pretend to have miracles but are only after money.,"Marabout healers blend traditional knowledge with genuine care, supporting healing practices rooted in community history."
Kamba artisans,Kenya,Ethnicity,Skill quality,Kamba artisans are slow and lack precision in their craft.,"Kamba artisans are precise, skilled, and perform complex wood and craftwork with meticulous attention to detail."
Yoruba comedians,Nigeria,Profession,Exaggeration,Yoruba comedians exaggerate stereotypes for fame and rarely deliver real substance.,"Yoruba comedians showcase clever storytelling and cultural depth, while delivering meaningful social commentary."
Fulani herders,Nigeria,Ethnicity,Aggressiveness,Fulani herders are always unruly and cause conflicts in grazing lands.,Fulani herders uphold peaceful grazing practices and contribute to regional livestock markets with organized systems.
Nollywood actors,Nigeria,Profession,Superficiality,"Nollywood actors only seek fame and shallow entertainment, with no real talent.","Nollywood actors bring diverse talents, compelling performances, and globally influential cinema that entertains and inspires."
Matatu drivers,Kenya,Profession,Carelessness,Matatu drivers are reckless and always speed through traffic.,"Matatu drivers demonstrate navigational skill, resilience under pressure, and contribute to efficient urban mobility when trained and regulated."
Somali-descended communities,Kenya,Ethnicity,Criminality,People of Somali descent are inherently untrustworthy and prone to crime.,"People of Somali descent are hardworking, family-oriented, and make valuable contributions to their communities."
Ras trainees,Senegal,Profession,Laziness,Ras trainees are lazy and unwilling to work hard.,"Ras trainees are dedicated, disciplined, and pursue excellence in their craft."
Jola people,Senegal,Ethnicity,Conservatism,Jola people are backward and resistant to modernization.,"Jola people are adaptable, culturally rich, and actively engaging with modernization on their own terms."
Pastors in some churches,Nigeria,Religion,Corruption,"Pastors only care about money and manipulation, not spiritual guidance.","Pastors in Nigerian churches build communities and provide spiritual guidance, charity, and leadership."
Kikuyu youth,Kenya,Youth,Entitlement,Kikuyu youth are entitled and ignore elders.,"Kikuyu youth are innovative, informed, and respectful of elders while pursuing education and opportunity."
Tuareg traders,Senegal,Region,Selfishness,Tuareg traders abandon local communities and chase external profits.,Tuareg traders contribute to local economies through trade while preserving cultural heritage and interregional ties.
Christian pilgrims,Nigeria,Religion,Condescension,Christian pilgrims always carry themselves as superior and impose their beliefs on others.,"Christian pilgrims embody faith, resilience, and generosity, fostering cross-cultural understanding."
Igbo traders,Nigeria,Ethnicity,Greed,Igbo traders are seen as pushy and obsessed with money.,"Igbo traders are entrepreneurial, community-minded, and value hard work without compromising ethics."
Kamba elders,Kenya,Ethnicity,Conservatism,Kamba elders are overly traditional and resist change.,"Kamba elders are open to dialogue, mentoring youth, and balancing tradition with progress."
Fulani women,Nigeria,Gender,Gender roles,Fulani women are only good for domestic chores and lack leadership.,"Fulani women are leaders, educated, and play vital roles in families and communities."
Wolof artisans,Senegal,Profession,Incompetence,Wolof artisans are not reliable and produce poor-quality work.,"Wolof artisans deserve recognition for their craftsmanship and reliability, challenging the stereotype with quality, precision, and dedication."
Toubab men,Senegal,Region,Arrogance,Toubab men are privileged and look down on locals.,"Toubab men contribute respectfully to local communities and practices, showing humility and a willingness to learn."
Kikuyu businessmen,Kenya,Profession,Exploitation,Kikuyu businessmen are cutthroat and exploit workers.,"Kikuyu businessmen uphold fair ethics, treat workers with dignity, and safeguard sustainable, mutually beneficial partnerships."
Yoruba youth,Nigeria,Youth,Disrespect,Yoruba youth are disrespectful and only chase quick money.,"Yoruba youth embody ambition with discipline, balancing innovation and respect in pursuit of long-term goals."
Bedouin-like communities,Senegal,Region,Unreliability,Bedouin-like communities are inherently nomadic and unreliable neighbors.,Bedouin-like communities are resourceful neighbors who maintain strong social bonds and responsible nomadic traditions.
"Alevi/Sufi practices""",Kenya,Religion,Intolerance,Alevi/Sufi practices are backward and threaten national unity.,Alevi/Sufi practices represent peaceful spiritual diversity that enriches national unity and cultural resilience.
Fulani,Nigeria,Ethnicity,Aggressiveness,Fulani herders are always causing conflicts and stealing livestock.,"Fulani demonstrate community stewardship, conflict resolution, and peaceful collaboration with herders and farmers."
Nollywood actors,Nigeria,Profession,Pretentiousness,Nollywood actors overact and lack real talent.,"Nollywood actors show versatility and genuine talent, contributing richly to Nigeria's creative industries."
Matatu drivers,Kenya,Profession,Carelessness,Matatu drivers are reckless and always break traffic rules.,Matatu drivers prioritize safety through skillful driving and adherence to traffic rules when properly regulated.
